,title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Running time (int),Budget (float),Box office (float),Release date (datetime),Release dates (datetime),imdb,metascore,rotten_tomatoes,Written by,Production companies,Story by
17,Black Panther,Ryan Coogler,,"['Stan Lee', 'Jack Kirby']",Kevin Feige,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis']",Rachel Morrison,"['Michael P. Shawver', 'Debbie Berman']",Ludwig Göransson,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['January 29, 2018 ( 2018-01-29 ) ( Dolby Theatre )', 'February 16, 2018 ( 2018-02-16 ) (United States)']",134 minutes [1],United States,English,$200 million [2] [3],$1.348 billion [4],134,200000000,1348000000,,29/01/2018,7.3,88,96%,"['Ryan Coogler', 'Joe Robert Cole']",,
18,Avengers: Infinity War,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","['Stan Lee', 'Jack Kirby']",Kevin Feige,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Don Cheadle', 'Tom Holland', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie', 'Sebastian Stan', 'Danai Gurira', 'Letitia Wright', 'Dave Bautista', 'Zoe Saldaña', 'Josh Brolin', 'Chris Pratt']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",Alan Silvestri,Marvel Studios,Walt Disney Studios Motion Pictures,"['April 23, 2018 ( 2018-04-23 ) ( Dolby Theatre )', 'April 27, 2018 ( 2018-04-27 ) (United States)']",149 minutes [1],United States,English,$325–400 million [2] [3],$2.048 billion [4],149,325000000,2048000000,,23/04/2018,8.4,68,85%,,,
19,Ant-Man and the Wasp,Peyton Reed,,"['Stan Lee', 'Larry Lieber', 'Jack Kirby']","['Kevin Feige', 'Stephen Broussard']","['Paul Rudd', 'Evangeline Lilly', 'Michael Peña', 'Walton Goggins', 'Bobby Cannavale', 'Judy Greer', 'Tip ""T.I."" Harris', 'David Dastmalchian', 'Hannah John-Kamen', 'Abby Ryder Fortson', 'Randall Park', 'Michelle Pfeiffer', 'Laurence Fishburne', 'Michael Douglas']",Dante Spinotti,"['Dan Lebental', 'Craig Wood']",Christophe Beck,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['June 25, 2018 ( 2018-06-25 ) ( El Capitan Theatre )', 'July 6, 2018 ( 2018-07-06 ) (United States)']",118 minutes [1],United States,English,$130–195 million [2] [3] [4],$622.7 million [5],118,130000000,622700000,,25/06/2018,7,70,87%,"['Chris McKenna', 'Erik Sommers', 'Paul Rudd', 'Andrew Barrer', 'Gabriel Ferrari']",,
20,Captain Marvel,"['Anna Boden', 'Ryan Fleck']","['Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet']",Marvel Comics,Kevin Feige,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Annette Bening', 'Clark Gregg', 'Jude Law']",Ben Davis,"['Elliot Graham', 'Debbie Berman']",Pinar Toprak,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['February 27, 2019 ( 2019-02-27 ) (London)', 'March 8, 2019 ( 2019-03-08 ) (United States)']",124 minutes [1],United States,English,$152–175 million [2] [3],$1.128 billion [4],124,152000000,1128000000,,27/02/2019,6.8,64,79%,,,"['Nicole Perlman', 'Meg LeFauve', 'Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet']"
21,Avengers: Endgame,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","['Stan Lee', 'Jack Kirby']",Kevin Feige,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']",Trent Opaloch,"['Jeffrey Ford', 'Matthew Schmidt']",Alan Silvestri,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['April 22, 2019 ( 2019-04-22 ) ( Los Angeles Convention Center )', 'April 26, 2019 ( 2019-04-26 ) (United States)']",181 minutes [1],United States,English,$356–400 million [2] [3],$2.798 billion [4],181,356000000,2798000000,,22/04/2019,8.4,78,94%,,,
22,Spider-Man: Far From Home,Jon Watts,,"['Stan Lee', 'Steve Ditko']","['Kevin Feige', 'Amy Pascal']","['Tom Holland', 'Samuel L. Jackson', 'Zendaya', 'Cobie Smulders', 'Jon Favreau', 'J. B. Smoove', 'Jacob Batalon', 'Martin Starr', 'Marisa Tomei', 'Jake Gyllenhaal']",Matthew J. Lloyd,"['Dan Lebental', 'Leigh Folsom Boyd']",Michael Giacchino,,Sony Pictures Releasing,"['June 26, 2019 ( 2019-06-26 ) ( TCL Chinese Theatre )', 'July 2, 2019 ( 2019-07-02 ) (United States)']",129 minutes [1],United States,English,$160 million [2],$1.132 billion [2],129,160000000,1132000000,,26/06/2019,7.4,69,90%,"['Chris McKenna', 'Erik Sommers']","['Columbia Pictures', 'Marvel Studios', 'Pascal Pictures']",
23,Black Widow,Cate Shortland,Eric Pearson,Marvel Comics,Kevin Feige,"['Scarlett Johansson', 'Florence Pugh', 'David Harbour', 'O-T Fagbenle', 'Olga Kurylenko', 'William Hurt', 'Ray Winstone', 'Rachel Weisz']",Gabriel Beristain,"['Leigh Folsom Boyd', 'Matthew Schmidt']",Lorne Balfe,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['June 29, 2021 ( 2021-06-29 ) (world premieres)', 'July 9, 2021 ( 2021-07-09 ) (United States)']",134 minutes [1],United States,English,$200 million [2],$379.6 million [3] [4] [a],134,200000000,379600000,,29/06/2021,6.7,67,79%,,,"['Jac Schaeffer', 'Ned Benson']"
24,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,"['Dave Callaham', 'Destin Daniel Cretton', 'Andrew Lanham']",Marvel Comics,"['Kevin Feige', 'Jonathan Schwartz']","['Simu Liu', 'Awkwafina', ""Meng'er Zhang"", 'Fala Chen', 'Florian Munteanu', 'Benedict Wong', 'Michelle Yeoh', 'Ben Kingsley', 'Tony Leung']",William Pope,"['Nat Sanders', 'Elísabet Ronaldsdóttir', 'Harry Yoon']",Joel P. West,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['August 16, 2021 ( 2021-08-16 ) (Los Angeles)', 'September 3, 2021 ( 2021-09-03 ) (United States)']",132 minutes [1],United States,English,$150–200 million [2] [3],$432.2 million [4] [5],132,150000000,432200000,,16/08/2021,7.5,71,91%,,,"['Dave Callaham', 'Destin Daniel Cretton']"
25,Eternals,Chloé Zhao,"['Chloé Zhao [N 1]', 'Patrick Burleigh', 'Ryan Firpo', 'Kaz Firpo']","['Eternals', 'by', 'Jack Kirby']","['Kevin Feige', 'Nate Moore']","['Gemma Chan', 'Richard Madden', 'Kumail Nanjiani', 'Lia McHugh', 'Brian Tyree Henry', 'Lauren Ridloff', 'Barry Keoghan', 'Don Lee', 'Harish Patel', 'Kit Harington', 'Salma Hayek', 'Angelina Jolie']",Ben Davis,"['Craig Wood', 'Dylan Tichenor']",Ramin Djawadi,Marvel Studios,"['Walt Disney Studios', 'Motion Pictures']","['October 18, 2021 ( 2021-10-18 ) ( Dolby Theatre )', 'November 5, 2021 ( 2021-11-05 ) (United States)']",156 minutes [3],United States,English,$200 million [4],$402 million [5] [6],156,200000000,402000000,,18/10/2021,6.7,52,47%,,,"['Ryan Firpo', 'Kaz Firpo']"
26,Spider-Man: No Way Home,Jon Watts,,"['Stan Lee', 'Steve Ditko']","['Kevin Feige', 'Amy Pascal']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong', 'Tony Revolori', 'Marisa Tomei', 'Andrew Garfield', 'Tobey Maguire']",Mauro Fiore,"['Jeffrey Ford', 'Leigh Folsom Boyd']",Michael Giacchino,,Sony Pictures Releasing,"['December 13, 2021 ( 2021-12-13 ) ( Fox Village Theatre )', 'December 17, 2021 ( 2021-12-17 ) (United States)']",148 minutes [1],United States,English,$200 million [2],$1.691 billion [3] [4],148,200000000,1691000000,,13/12/2021,8.7,71,93%,"['Chris McKenna', 'Erik Sommers']","['Columbia Pictures', 'Marvel Studios', 'Pascal Pictures']",
